steps,digit_0,digit_1,digit_2,digit_3,digit_4,digit_5,digit_6,digit_7,digit_8,digit_9
1,2.723633289337158,4.127790927886963,3.6258349418640137,3.0967044830322266,3.1317708492279053,3.1390812397003174,2.996521472930908,3.2830593585968018,2.910808563232422,2.934396743774414
2,2.58642840385437,3.7780730724334717,3.1928749084472656,2.8318564891815186,3.0045361518859863,2.8375070095062256,2.660226583480835,3.0233452320098877,2.7515547275543213,2.932896137237549
3,2.4173924922943115,3.628894567489624,3.063159465789795,2.816833734512329,2.812326669692993,2.7429404258728027,2.5052216053009033,2.91410756111145,2.6832380294799805,2.7969958782196045
4,2.340092182159424,3.5445709228515625,3.001220703125,2.747534990310669,2.7709832191467285,2.687356948852539,2.439610481262207,2.873011827468872,2.6171891689300537,2.779026985168457
5,2.2854502201080322,3.5944933891296387,2.936277389526367,2.6981849670410156,2.7052817344665527,2.6249845027923584,2.32914137840271,2.899657726287842,2.633852243423462,2.77311372756958
6,2.196478843688965,3.5390512943267822,2.9773499965667725,2.7564685344696045,2.6916093826293945,2.661181926727295,2.2886295318603516,2.8566362857818604,2.593878746032715,2.692293882369995
7,2.1589064598083496,3.5066471099853516,2.9094018936157227,2.7786166667938232,2.6898159980773926,2.646974563598633,2.268887758255005,2.81488299369812,2.5978431701660156,2.7214274406433105
8,2.1238842010498047,3.5671122074127197,2.9181017875671387,2.700342893600464,2.64947247505188,2.6278791427612305,2.2476391792297363,2.8269336223602295,2.5635695457458496,2.680455446243286
9,2.092815637588501,3.5418829917907715,2.841276168823242,2.7188472747802734,2.722454071044922,2.634352207183838,2.263972759246826,2.878509759902954,2.608508825302124,2.6539077758789062
10,2.114147901535034,3.5294528007507324,2.8362607955932617,2.7427029609680176,2.671318531036377,2.5739994049072266,2.2012901306152344,2.8780503273010254,2.564810276031494,2.6596336364746094
