steps,digit_0,digit_1,digit_2,digit_3,digit_4,digit_5,digit_6,digit_7,digit_8,digit_9
1,1.2293493747711182,1.4495457410812378,1.8643940687179565,1.2797905206680298,1.2904481887817383,1.313629388809204,1.1860835552215576,1.4363877773284912,1.121547818183899,1.1437110900878906
2,1.0336230993270874,1.031637191772461,1.4232869148254395,0.9845658540725708,1.0514869689941406,0.881173312664032,0.7857704162597656,0.9614909291267395,0.915212869644165,0.9419227242469788
3,0.9180118441581726,0.8996263146400452,1.273978352546692,0.9500586986541748,0.8673796057701111,0.7555056214332581,0.6713915467262268,0.8292670249938965,0.8755013346672058,0.8252153992652893
4,0.8386070728302002,0.8409835696220398,1.195239543914795,0.8760177493095398,0.7999678254127502,0.6965330839157104,0.6092391610145569,0.7666905522346497,0.8214730024337769,0.7718319296836853
5,0.7950900793075562,0.8633038997650146,1.1289069652557373,0.8301641345024109,0.7559919357299805,0.6400766968727112,0.5461360812187195,0.7713829278945923,0.81485915184021,0.7428844571113586
6,0.7166109681129456,0.8283051252365112,1.125770092010498,0.8323178291320801,0.7280586361885071,0.6422162652015686,0.5093123316764832,0.7377007007598877,0.7749162316322327,0.6759786605834961
7,0.6801058650016785,0.7978143692016602,1.0718296766281128,0.8331122994422913,0.7102641463279724,0.619418203830719,0.49787142872810364,0.7107887268066406,0.7735061645507812,0.6915921568870544
8,0.6651730537414551,0.8310354948043823,1.0585293769836426,0.7793912291526794,0.6940615773200989,0.6075018644332886,0.48330140113830566,0.7082057595252991,0.7497859597206116,0.6518390774726868
9,0.625437319278717,0.8147245049476624,1.0048075914382935,0.7821782231330872,0.7149548530578613,0.5953534245491028,0.48287633061408997,0.7197932600975037,0.7584675550460815,0.6395668387413025
10,0.6374477744102478,0.7927107810974121,0.9979950785636902,0.7815282940864563,0.6891040205955505,0.5659366250038147,0.44710150361061096,0.7157824635505676,0.7242633104324341,0.6315272450447083
