steps,digit_0,digit_1,digit_2,digit_3,digit_4,digit_5,digit_6,digit_7,digit_8,digit_9
1,0.8164430856704712,0.6791332364082336,1.332136869430542,0.7623958587646484,0.7459882497787476,0.8489205837249756,0.7256592512130737,0.814186692237854,0.6991254687309265,0.6231003999710083
2,0.5139249563217163,0.339017778635025,0.7708463072776794,0.45352843403816223,0.49039366841316223,0.38371577858924866,0.31373706459999084,0.3959135115146637,0.38566768169403076,0.39947861433029175
3,0.4556904435157776,0.2657252550125122,0.6561629772186279,0.42010605335235596,0.3652569651603699,0.28868812322616577,0.24123403429985046,0.30659589171409607,0.3660632073879242,0.3295842409133911
4,0.3979787528514862,0.23399755358695984,0.5995914340019226,0.36628416180610657,0.30915504693984985,0.24279338121414185,0.2011767327785492,0.2613339424133301,0.3313784599304199,0.2862791419029236
5,0.371954083442688,0.2452566921710968,0.5515491962432861,0.3378329277038574,0.28364530205726624,0.20212452113628387,0.17188236117362976,0.259588360786438,0.3174991011619568,0.26480308175086975
6,0.31886810064315796,0.22818058729171753,0.5443879961967468,0.3306250274181366,0.26462483406066895,0.197727233171463,0.14910826086997986,0.2412463277578354,0.2937038540840149,0.22494594752788544
7,0.2931087613105774,0.21343012154102325,0.5048880577087402,0.32489949464797974,0.24997486174106598,0.1766408234834671,0.14205019176006317,0.2264743149280548,0.28898435831069946,0.22908200323581696
8,0.2884323298931122,0.22862575948238373,0.49250879883766174,0.2956448793411255,0.2414403259754181,0.16994565725326538,0.1388753354549408,0.22035665810108185,0.2729392349720001,0.20892402529716492
9,0.26421061158180237,0.22145651280879974,0.4617146849632263,0.2982316315174103,0.24557039141654968,0.16086606681346893,0.1352231502532959,0.22729431092739105,0.27650582790374756,0.20277827978134155
10,0.26838430762290955,0.21068528294563293,0.45679759979248047,0.2878898084163666,0.23488649725914001,0.15233850479125977,0.12013804912567139,0.22276820242404938,0.25847235321998596,0.19686764478683472
